location,type,sqft
Cragmont Elementary School ,Elementary School,"50,000"
Emerson Elementary School ,Elementary School,"32,000"
John Muir Elementary School ,Elementary School,"36,800"
Malcolm X Elementary School ,Elementary School,"70,900"
Sylvia Mendez Elementary School,Elementary School,"56,100"
Thousand Oaks Elementary School,Elementary School,"50,000"
Washington Elementary School,Elementary School,"47,900"
Berkeley High School,High School,"470,000"
King Middle School,Middle School,143000
Longfellow Middle School,Middle School,93670
Willard Middle School ,Middle School,107000
Berkeley Arts Magnet ,Other,"41,600"
Berkeley Technical Academy ,Other,"20,000"
